time (s),pulsewidth (us),force (lb)
1.972,1768,4.47
1.974,1755,3.97
1.976,1743,3.97
1.978,1730,3.40
1.980,1718,3.75
1.982,1706,3.18
1.984,1694,3.04
1.986,1683,2.97
1.988,1672,2.97
1.990,1662,3.04
1.992,1652,2.68
1.994,1643,2.33
1.996,1634,2.26
1.998,1627,1.54
2.000,1620,2.04
2.002,1614,1.54
2.004,1609,1.76
2.006,1606,1.47
2.008,1603,1.33
2.010,1601,1.40
2.012,1600,1.76
2.014,1600,1.26
2.016,1602,1.26
2.018,1604,0.83
2.020,1608,0.54
2.022,1612,1.11
2.024,1618,0.83
2.026,1624,1.04
2.028,1631,0.90
2.030,1639,0.83
2.032,1649,1.18
2.034,1658,1.18
2.036,1669,1.33
2.038,1680,0.97
2.040,1691,0.90
2.042,1703,0.90
2.044,1716,0.90
2.046,1728,1.18
2.048,1741,1.11
2.050,1754,0.83
2.052,1767,1.18
2.054,1780,1.40
2.056,1792,1.97
2.058,1804,1.90
2.060,1816,1.54
2.062,1828,1.83
2.064,1838,1.90
2.066,1848,3.54
2.068,1858,4.97
2.070,1866,4.11
2.072,1874,4.68
2.074,1881,4.18
2.076,1887,4.40
2.078,1892,4.54
2.080,1895,5.25
2.082,1898,4.83
2.084,1900,4.11
2.086,1900,4.40
2.088,1899,4.90
2.090,1897,5.11
2.092,1894,5.18
2.094,1890,4.61
2.096,1885,5.18
2.098,1879,4.97
2.100,1871,5.61
2.102,1863,5.68
2.104,1854,5.40
2.106,1844,4.68
2.108,1833,4.83
2.110,1822,4.90
2.112,1810,4.90
2.114,1798,4.83
2.116,1785,4.25
2.118,1772,4.47
2.120,1759,4.40
2.122,1745,4.47
2.124,1732,4.25
2.126,1719,3.54
2.128,1706,3.25
2.130,1693,2.97
2.132,1681,3.04
2.134,1670,2.76
2.136,1659,2.54
2.138,1648,1.90
2.140,1639,2.26
2.142,1630,2.33
2.144,1623,2.18
2.146,1616,2.11
2.148,1611,1.83
2.150,1606,1.61
2.152,1603,1.47
2.154,1601,1.54
2.156,1600,1.11
2.158,1600,1.18
2.160,1602,0.61
2.162,1605,0.90
2.164,1609,1.04
2.166,1614,1.04
2.168,1620,1.11
2.170,1628,0.83
2.172,1636,1.11
2.174,1645,0.97
2.176,1656,1.18
2.178,1667,1.04
2.180,1678,0.69
2.182,1691,0.97
2.184,1703,0.76
2.186,1717,1.33
2.188,1730,1.40
2.190,1744,0.90
2.192,1758,1.33
2.194,1771,1.26
2.196,1785,1.40
2.198,1798,1.68
2.200,1811,1.83
2.202,1823,1.90
2.204,1835,2.04
2.206,1846,3.33
2.208,1856,4.40
2.210,1866,3.97
2.212,1874,4.40
2.214,1881,4.54
2.216,1887,3.97
2.218,1892,4.47
2.220,1896,4.90
2.222,1899,4.97
2.224,1900,4.54
2.226,1900,4.25
2.228,1898,5.11
2.230,1896,4.83
2.232,1892,5.47
2.234,1887,4.68
2.236,1880,5.32
2.238,1873,4.75
2.240,1864,5.11
2.242,1854,5.82
2.244,1844,5.32
2.246,1832,5.54
2.248,1820,4.47
2.250,1807,5.25
2.252,1794,4.18
2.254,1780,4.97
2.256,1766,4.54
2.258,1752,4.25
2.260,1738,3.83
2.262,1724,3.97
2.264,1710,3.47
2.266,1697,3.83
2.268,1684,2.90
2.270,1671,2.76
2.272,1659,2.26
2.274,1648,2.11
2.276,1638,2.61
2.278,1629,2.11
2.280,1621,2.54
2.282,1615,1.68
2.284,1609,1.83
2.286,1605,1.83
2.288,1602,1.54
2.290,1600,1.47
2.292,1600,1.33
2.294,1601,1.04
2.296,1604,0.76
2.298,1608,0.90
2.300,1613,0.97
2.302,1619,1.04
2.304,1627,1.11
2.306,1636,0.90
2.308,1646,1.40
2.310,1657,0.76
2.312,1669,1.18
2.314,1681,1.04
2.316,1695,0.90
2.318,1708,0.83
2.320,1723,0.97
2.322,1737,1.18
2.324,1752,1.04
2.326,1766,1.40
2.328,1781,1.11
2.330,1795,1.61
2.332,1808,1.33
2.334,1822,1.83
2.336,1834,1.76
2.338,1846,1.47
2.340,1857,1.83
2.342,1867,3.33
2.344,1875,4.25
2.346,1883,4.54
2.348,1889,4.97
2.350,1894,5.40
2.352,1897,4.75
2.354,1899,4.83
2.356,1900,5.54
2.358,1899,5.32
2.360,1897,4.61
2.362,1893,4.47
2.364,1888,4.97
2.366,1881,5.04
2.368,1874,4.83
2.370,1865,5.11
2.372,1854,4.97
2.374,1843,4.54
2.376,1831,4.97
2.378,1818,5.18
2.380,1805,5.47
2.382,1790,4.47
2.384,1776,4.61
2.386,1761,4.54
2.388,1746,3.90
2.390,1731,4.11
2.392,1716,3.25
2.394,1702,3.18
2.396,1688,2.90
2.398,1674,3.04
2.400,1662,3.11
2.402,1650,2.83
2.404,1639,2.47
2.406,1630,1.83
2.408,1621,2.11
2.410,1614,1.90
2.412,1608,1.54
2.414,1604,1.40
2.416,1601,1.40
2.418,1600,1.40
2.420,1600,1.61
2.422,1602,1.54
2.424,1605,1.04
2.426,1610,0.97
2.428,1616,0.47
2.430,1624,1.04
2.432,1633,1.18
2.434,1643,0.61
2.436,1655,0.83
2.438,1667,0.83
2.440,1680,1.04
2.442,1694,1.47
2.444,1708,1.33
2.446,1723,0.97
2.448,1739,0.83
2.450,1754,0.83
2.452,1769,1.33
2.454,1784,1.33
2.456,1799,1.61
2.458,1814,1.47
2.460,1827,1.61
2.462,1840,1.83
2.464,1852,2.97
2.466,1863,4.04
2.468,1872,4.40
2.470,1881,3.83
2.472,1888,4.33
2.474,1893,4.83
2.476,1897,4.54
2.478,1899,4.97
2.480,1900,5.11
2.482,1899,4.47
2.484,1897,4.25
2.486,1893,4.83
2.488,1887,5.61
2.490,1880,5.04
2.492,1871,5.11
2.494,1861,5.75
2.496,1850,5.18
2.498,1838,5.68
2.500,1825,4.68
2.502,1811,5.11
2.504,1796,4.33
2.506,1781,4.04
2.508,1766,4.40
2.510,1750,4.33
2.512,1734,3.90
2.514,1718,3.47
2.516,1703,3.75
2.518,1688,3.18
2.520,1674,4.04
2.522,1661,3.04
2.524,1649,3.04
2.526,1638,1.83
